|@id|@type|CompanyNumber|ComptesDeResultats|CorporateShareholders|IndustryCode|Name|OpenCorporateURL|documentDeReferences|id|shareholdings
19003|/api/corporates/570135|Corporate|440520781|[/api/compte_de_resultats/309445]|[]|0121Z|SARL MUNCK - LUSSAC|https://opencorporates.com/companies/fr/440520781|[]|570135|[]
19004|/api/corporates/570136|Corporate|354060063|[]|[]|4669B|VDL KLIMA FRANCE|https://opencorporates.com/companies/fr/354060063|[]|570136|[]
19005|/api/corporates/570137|Corporate|411263056|[]|[]|6832A|FONCIA GATINEAU MARMIGNON|https://opencorporates.com/companies/fr/411263056|[]|570137|[]
19006|/api/corporates/570138|Corporate|502154537|[]|[]|7120B|STTP TRAFILUMIERE|https://opencorporates.com/companies/fr/502154537|[]|570138|[]
19007|/api/corporates/570139|Corporate|789620796|[/api/compte_de_resultats/309450, /api/compte_de_resultats/309583]|[]|7022Z|FRY CONSULTING|https://opencorporates.com/companies/fr/789620796|[]|570139|[]
19008|/api/corporates/570140|Corporate|533150298|[]|[]|6420Z|PG FINANCE & CONSEIL|https://opencorporates.com/companies/fr/533150298|[]|570140|[]
19009|/api/corporates/570141|Corporate|500335997|[]|[]|4941C|SOCIETE DE TRANSPORT AUVERGNE RHONE ALPES|https://opencorporates.com/companies/fr/500335997|[]|570141|[]
19010|/api/corporates/570142|Corporate|350537643|[]|[]|6831Z|FONCIERE NICE LINGOSTIERE|https://opencorporates.com/companies/fr/350537643|[]|570142|[]
19011|/api/corporates/570143|Corporate|438715096|[]|[]|4730Z|STATION SERVICE DU M.I.N.|https://opencorporates.com/companies/fr/438715096|[]|570143|[]
19012|/api/corporates/570144|Corporate|404863284|[]|[]|7010Z|NACH INVESTISSEMENTS|https://opencorporates.com/companies/fr/404863284|[]|570144|[]
19013|/api/corporates/570145|Corporate|441852324|[]|[]|6202A|INNOV BUSINESS & SERVICES|https://opencorporates.com/companies/fr/441852324|[]|570145|[]
19014|/api/corporates/570146|Corporate|385275276|[]|[]|6820B|LE PONTET KP IMMO|https://opencorporates.com/companies/fr/385275276|[]|570146|[]
19015|/api/corporates/570147|Corporate|799260682|[/api/compte_de_resultats/309454]|[]|6420Z|BYN|https://opencorporates.com/companies/fr/799260682|[]|570147|[]
19016|/api/corporates/570148|Corporate|813786597|[]|[]|7820Z|SARL JLAM INTERIM|https://opencorporates.com/companies/fr/813786597|[]|570148|[]
19017|/api/corporates/570149|Corporate|839432655|[]|[]|6630Z|UMBRELLA CAPITAL|https://opencorporates.com/companies/fr/839432655|[]|570149|[]
19018|/api/corporates/570150|Corporate|808190573|[]|[]|4791A|PRODUCTS AND BRANDS STUDIO|https://opencorporates.com/companies/fr/808190573|[]|570150|[]
19019|/api/corporates/570151|Corporate|514027424|[/api/compte_de_resultats/309459, /api/compte_de_resultats/309458]|[]|4621Z|CERCOVA|https://opencorporates.com/companies/fr/514027424|[]|570151|[]
19020|/api/corporates/570152|Corporate|837508761|[]|[]|7010Z|GESMIN|https://opencorporates.com/companies/fr/837508761|[]|570152|[]
19021|/api/corporates/570153|Corporate|304425960|[]|[]|7112B|GERIM|https://opencorporates.com/companies/fr/304425960|[]|570153|[]
19022|/api/corporates/570154|Corporate|832198444|[]|[]|5630Z|ONE FLOU|https://opencorporates.com/companies/fr/832198444|[]|570154|[]
19023|/api/corporates/570155|Corporate|517899803|[]|[]|6820B|MARMANDE IMMO|https://opencorporates.com/companies/fr/517899803|[]|570155|[]
19024|/api/corporates/570156|Corporate|834815359|[/api/compte_de_resultats/309461]|[]|7810Z|ERNESTE|https://opencorporates.com/companies/fr/834815359|[]|570156|[]
19025|/api/corporates/570157|Corporate|481854198|[]|[]|6420Z|H.D.D.|https://opencorporates.com/companies/fr/481854198|[]|570157|[]
19026|/api/corporates/570158|Corporate|831580469|[/api/compte_de_resultats/309467]|[]|7022Z|VARANE SPORT MANAGEMENT (VSM)|https://opencorporates.com/companies/fr/831580469|[]|570158|[]
19027|/api/corporates/570159|Corporate|444319511|[]|[]|7112B|AMPEC|https://opencorporates.com/companies/fr/444319511|[]|570159|[]
19028|/api/corporates/570160|Corporate|799391511|[]|[]|5510Z|LHG LILLE|https://opencorporates.com/companies/fr/799391511|[]|570160|[]
19029|/api/corporates/570161|Corporate|801875691|[]|[]|4771Z|GD|https://opencorporates.com/companies/fr/801875691|[]|570161|[]
